feature,importance
volatility_20d,5206
atr_14,4420
volume_acceleration,4138
volume_trend,4062
sma_50_distance,4026
price_momentum_20d,4001
intraday_range,3969
volume_ratio_5d,3940
sma_50,3805
rsi_14,3780
macd_signal,3759
ema_20,3715
gap_size,3660
relative_volume,3628
sentiment_neutral,3614
stochastic_k,3579
price_acceleration,3541
price_momentum_5d,3523
price_momentum_10d,3431
bollinger_position,3093
sentiment_positive,2892
sentiment_negative,2805
ema_20_distance,2592
sentiment_score,2537
overnight_return,826
macd_histogram,741
williams_r,690
volume_spike,15
dark_pool_ratio,0
institutional_net_flow,0
vix_level,0
spy_correlation,0
sector_momentum,0
insider_buying_ratio,0
institutional_ownership_pct,0
institutional_block_trades,0
options_call_volume,0
options_gamma_exposure,0
options_oi_put_call,0
options_put_volume,0
options_iv_rank,0
options_unusual_activity,0
options_put_call_ratio,0
adx_14,0
sector_relative_strength,0
