category,endpoint,description,status,ok,bytes,error
Directory & Search,/api/v3/stock/list,GET list of stock symbols,200,True,16318273,
Directory & Search,/api/v3/financial-statement-symbol-lists,Symbols with fundamentals coverage,200,True,841817,
Directory & Search,/api/v3/symbol/available-indexes,Available stock indices,200,True,32747,
Company / Profile,/api/v3/profile/AAPL,Company profile (AAPL),200,True,2702,
Company / Profile,/api/v3/quote-short/AAPL,Quote (short) (AAPL),200,True,79,
Company / Profile,/api/v3/quote/AAPL,Quote (full) (AAPL),200,True,612,
Company / Profile,/api/v3/stock/peers?symbol=AAPL,Peers (AAPL),200,True,2,
Company / Profile,/api/v3/stock/price-change/AAPL,Price change metrics (AAPL),200,True,2,
Fundamentals,/api/v3/income-statement/AAPL?period=annual&limit=5,Income statement (AAPL),200,True,7436,
Fundamentals,/api/v3/balance-sheet-statement/AAPL?period=annual&limit=5,Balance sheet (AAPL),200,True,10532,
Fundamentals,/api/v3/cash-flow-statement/AAPL?period=annual&limit=5,Cash flow (AAPL),200,True,8437,
Fundamentals,/api/v3/key-metrics/AAPL?period=annual&limit=5,Key metrics (AAPL),200,True,12709,
Fundamentals,/api/v3/ratios/AAPL?period=annual&limit=5,Financial ratios (AAPL),200,True,13114,
Fundamentals,/api/v3/enterprise-values/AAPL?period=annual&limit=5,Enterprise values (AAPL),200,True,1397,
Fundamentals,/api/v3/financial-growth/AAPL?period=annual&limit=5,Financial growth (AAPL),200,True,9416,
Historical Prices & Charts,/api/v3/historical-price-full/AAPL?serietype=line&timeseries=100,EOD historical price (AAPL),200,True,6330,
Historical Prices & Charts,/api/v3/historical-price-full/stock_dividend/AAPL?timeseries=50,Dividends (AAPL),200,True,20563,
Historical Prices & Charts,/api/v3/historical-price-full/stock_split/AAPL?timeseries=50,Splits (AAPL),200,True,630,
Historical Prices & Charts,/api/v3/historical-chart/1min/AAPL?timeseries=60,Intraday 1min (AAPL),200,True,154175,
Historical Prices & Charts,/api/v3/historical-chart/5min/AAPL?timeseries=60,Intraday 5min (AAPL),200,True,109994,
Calendars & Events,/api/v3/earning_calendar?from=2024-01-01&to=2024-12-31&symbol=AAPL,"Earnings calendar (AAPL, 2024)",200,True,10081210,
Calendars & Events,/api/v3/ipo_calendar?from=2024-01-01&to=2024-12-31,IPO calendar 2024,200,True,81050,
Calendars & Events,/api/v3/economic_calendar?from=2024-01-01&to=2024-01-10,Economic calendar (sample range),200,True,196178,
News & Transcripts,/api/v4/general_news?page=0,General market news (page 0),200,True,11782,
News & Transcripts,/api/v4/earning_call_transcript?symbol=AAPL&year=2024&quarter=1,Earnings call transcript (AAPL 2024 Q1),200,True,4162,
Ownership & Filings,/api/v4/insider-trading?symbol=AAPL,Insider trading (AAPL),200,True,58688,
Ownership & Filings,/api/v4/institutional-ownership/symbol-ownership?symbol=AAPL,13F institutional ownership (AAPL),403,False,0,HTTPError 403: Forbidden
Ownership & Filings,/api/v3/sec_filings/AAPL?limit=30,SEC filings (AAPL),200,True,11571,
ETFs / Index / Funds,/api/v3/etf/list,ETF list,200,True,2710310,
ETFs / Index / Funds,/api/v3/etf-holder/SPY,ETF holders (SPY),200,True,116948,
ETFs / Index / Funds,/api/v3/etf-sector-weightings/SPY,ETF sector weights (SPY),200,True,798,
ETFs / Index / Funds,/api/v3/etf-country-weightings/SPY,ETF country weights (SPY),200,True,554,
ETFs / Index / Funds,/api/v3/historical-price-full/SPY?serietype=line&timeseries=50,EOD historical price (SPY),200,True,3187,
Forex / Crypto / Commodities,/api/v3/forex,Forex pairs list,200,True,333949,
Forex / Crypto / Commodities,/api/v3/quote/EURUSD,Forex quote (EURUSD),200,True,567,
Forex / Crypto / Commodities,/api/v3/cryptocurrencies,Cryptocurrencies list,200,True,2,
Forex / Crypto / Commodities,/api/v3/quote/BTCUSD,Crypto quote (BTCUSD),200,True,617,
Forex / Crypto / Commodities,/api/v3/quotes/commodity,Commodity quotes,200,True,22302,
Screener & Bulk-ish,/api/v3/stock-screener?marketCapMoreThan=2000000000&betaLessThan=1.5&limit=50,Stock screener (filters),200,True,22007,
Screener & Bulk-ish,/api/v3/rating/AAPL,Company rating (AAPL),200,True,629,
Screener & Bulk-ish,/api/v3/discounted-cash-flow/AAPL,DCF valuation (AAPL),200,True,116,
